title,artists,entry_1,entry_2,entry_3,weeks_1,weeks_2,weeks_3
"January 5
","""The Chipmunk Song""
","8
 1959",,,1,,
"January 19
","""Smoke Gets in Your Eyes""
","9
 1959",,,1,,
"February 9
","""Stagger Lee""
","10
 1959",,,1,,
"March 9
","""Venus""
","11
 1959",,,1,,
"April 13
","""Come Softly to Me""
","12
 1959",,,1,,
"May 11
","""The Happy Organ""
","13
 1959",,,1,,
"May 18
","""Kansas City""
","14
 1959",,,1,,
"June 1
","""The Battle of New Orleans""
","15
 1959",,,1,,
"July 13
","""Lonely Boy""
","16
 1959",,,1,,
"August 10
","""A Big Hunk o' Love""
","17
 1959",,,1,,
"August 24
","""The Three Bells""
","18
 1959",,,1,,
"September 21
","""Sleep Walk""
","19
 1959",,,1,,
"October 5
","""Mack the Knife""
","20
 1959",,,1,,
"November 16
","""Mr. Blue""
","21
 1959",,,1,,
"November 23
","""Mack the Knife""
","re
 1959",,,1,,
"December 14
","""Heartaches by the Number""
","22
 1959",,,1,,
"December 28
","""Why""
","23
 1959",,,1,,
"January 4
","""El Paso""
","24
 1960",,,1,,
"January 18
","""Running Bear""
","25
 1960",,,1,,
"February 8
","""Teen Angel""
","26
 1960",,,1,,
"February 22
","""Theme from A Summer Place""
","27
 1960",,,1,,
"April 25
","""Stuck on You""
","28
 1960",,,1,,
"May 23
","""Cathy's Clown""
","29
 1960",,,1,,
"June 27
","""Everybody's Somebody's Fool""
","30
 1960",,,1,,
"July 11
","""Alley Oop""
","31
 1960",,,1,,
"July 18
","""I'm Sorry""
","32
 1960",,,1,,
"August 8
","""Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini""
","33
 1960",,,1,,
"August 15
","""It's Now or Never""
","34
 1960",,,1,,
"September 19
","""The Twist""
","35
 1960",,,1,,
"September 26
","""My Heart Has a Mind of Its Own""
","36
 1960",,,1,,
"October 10
","""Mr. Custer""
","37
 1960",,,1,,
"October 17
","""Save the Last Dance for Me""
","38
 1960",,,1,,
"October 24
","""I Want to Be Wanted""
","39
 1960",,,1,,
"October 31
","""Save the Last Dance for Me""
","re
 1960",,,1,,
"November 14
","""Georgia on My Mind""
","40
 1960",,,1,,
"November 21
","""Stay""
","41
 1960",,,1,,
"November 28
","""Are You Lonesome Tonight?""
","42
 1960",,,1,,
"January 2
","""Are You Lonesome Tonight?""
","42
 1961",,,1,,
"January 9
","""Wonderland by Night""
","43
 1961",,,1,,
"January 30
","""Will You Love Me Tomorrow""
","44
 1961",,,1,,
"February 13
","""Calcutta""
","45
 1961",,,1,,
"February 27
","""Pony Time""
","46
 1961",,,1,,
"March 20
","""Surrender""
","47
 1961",,,1,,
"April 3
","""Blue Moon""
","48
 1961",,,1,,
"April 24
","""Runaway""
","49
 1961",,,1,,
"May 22
","""Mother-in-Law""
","50
 1961",,,1,,
"May 29
","""Travelin' Man""
","51
 1961",,,1,,
"June 5
","""Running Scared""
","52
 1961",,,1,,
"June 12
","""Travelin' Man""
","re
 1961",,,1,,
"June 19
","""Moody River""
","53
 1961",,,1,,
"June 26
","""Quarter to Three""
","54
 1961",,,1,,
"July 10
","""Tossin' and Turnin'""
","55
 1961",,,1,,
"August 28
","""Wooden Heart""
","56
 1961",,,1,,
"September 4
","""Michael""
","57
 1961",,,1,,
"September 18
","""Take Good Care of My Baby""
","58
 1961",,,1,,
"October 9
","""Hit the Road Jack""
","59
 1961",,,1,,
"October 23
","""Runaround Sue""
","60
 1961",,,1,,
"November 6
","""Big Bad John""
","61
 1961",,,1,,
"December 11
","""Please Mr. Postman""
","62
 1961",,,1,,
"December 18
","""The Lion Sleeps Tonight""
","63
 1961",,,1,,
"January 6
","""The Lion Sleeps Tonight""
","63
 1962",,,1,,
"January 13
","""The Twist""
","re
 1962",,,1,,
"January 27
","""Peppermint Twist""
","64
 1962",,,1,,
"February 17
","""Duke of Earl""
","65
 1962",,,1,,
"March 10
","""Hey! Baby""
","66
 1962",,,1,,
"March 31
","""Don't Break the Heart That Loves You""
","67
 1962",,,1,,
"April 7
","""Johnny Angel""
","68
 1962",,,1,,
"April 21
","""Good Luck Charm""
","69
 1962",,,1,,
"May 5
","""Soldier Boy""
","70
 1962",,,1,,
"May 26
","""Stranger on the Shore""
","71
 1962",,,1,,
"June 2
","""I Can't Stop Loving You""
","72
 1962",,,1,,
"July 7
","""The Stripper""
","73
 1962",,,1,,
"July 14
","""Roses Are Red (My Love)""
","74
 1962",,,1,,
"August 11
","""Breaking Up Is Hard to Do""
","75
 1962",,,1,,
"August 25
","""The Loco-Motion""
","76
 1962",,,1,,
"September 1
","""Sheila""
","77
 1962",,,1,,
"September 15
","""Sherry""
","78
 1962",,,1,,
"October 20
","""Monster Mash""
","79
 1962",,,1,,
"November 3
","""He's a Rebel""
","80
 1962",,,1,,
"November 17
","""Big Girls Don't Cry""
","81
 1962",,,1,,
"December 22
","""Telstar""
","82
 1962",,,1,,
"January 5
","""Telstar""
","82
 1963",,,1,,
"January 12
","""Go Away Little Girl""
","83
 1963",,,1,,
"January 26
","""Walk Right In""
","84
 1963",,,1,,
"February 9
","""Hey Paula""
","85
 1963",,,1,,
"March 2
","""Walk Like a Man""
","86
 1963",,,1,,
"March 23
","""Our Day Will Come""
","87
 1963",,,1,,
"March 30
","""He's So Fine""
","88
 1963",,,1,,
"April 27
","""I Will Follow Him""
","89
 1963",,,1,,
"May 18
","""If You Wanna Be Happy""
","90
 1963",,,1,,
"June 1
","""It's My Party""
","91
 1963",,,1,,
"June 15
","""Sukiyaki""
","92
 1963",,,1,,
"July 6
","""Easier Said Than Done""
","93
 1963",,,1,,
"July 20
","""Surf City""
","94
 1963",,,1,,
"August 3
","""So Much in Love""
","95
 1963",,,1,,
"August 10
","""Fingertips Pt. 2""
","96
 1963",,,1,,
"August 31
","""My Boyfriend's Back""
","97
 1963",,,1,,
"September 21
","""Blue Velvet""
","98
 1963",,,1,,
"October 12
","""Sugar Shack""
","99
 1963",,,1,,
"November 16
","""Deep Purple""
","100
 1963",,,1,,
"November 23
","""I'm Leaving It Up to You""
","101
 1963",,,1,,
"December 7
","""Dominique""
","102
 1963",,,1,,
"January 4
","""There! I've Said It Again""
","103
 1964",,,1,,
"February 1
","""I Want to Hold Your Hand""
","104
 1964",,,1,,
"March 21
","""She Loves You""
","105
 1964",,,1,,
"April 4
","""Can't Buy Me Love""
","106
 1964",,,1,,
"May 9
","""Hello, Dolly!""
","107
 1964",,,1,,
"May 16
","""My Guy""
","108
 1964",,,1,,
"May 30
","""Love Me Do""
","109
 1964",,,1,,
"June 6
","""Chapel of Love""
","110
 1964",,,1,,
"June 27
","""A World Without Love""
","111
 1964",,,1,,
"July 4
","""I Get Around""
","112
 1964",,,1,,
"July 18
","""Rag Doll""
","113
 1964",,,1,,
"August 1
","""A Hard Day's Night""
","114
 1964",,,1,,
"August 15
","""Everybody Loves Somebody""
","115
 1964",,,1,,
"August 22
","""Where Did Our Love Go""
","116
 1964",,,1,,
"September 5
","""The House of the Rising Sun""
","117
 1964",,,1,,
"September 26
","""Oh, Pretty Woman""
","118
 1964",,,1,,
"October 17
","""Do Wah Diddy Diddy""
","119
 1964",,,1,,
"October 31
","""Baby Love""
","120
 1964",,,1,,
"November 28
","""Leader of the Pack""
","121
 1964",,,1,,
"December 5
","""Ringo""
","122
 1964",,,1,,
"December 12
","""Mr. Lonely""
","123
 1964",,,1,,
"December 19
","""Come See About Me""
","124
 1964",,,1,,
"December 26
","""I Feel Fine""
","125
 1964",,,1,,
"January 2
","""I Feel Fine""
","125
 1965",,,1,,
"January 16
","""Come See About Me""
","re
 1965",,,1,,
"January 23
","""Downtown""
","126
 1965",,,1,,
"February 6
","""You've Lost That Lovin' Feelin'""
","127
 1965",,,1,,
"February 20
","""This Diamond Ring""
","128
 1965",,,1,,
"March 6
","""My Girl""
","129
 1965",,,1,,
"March 13
","""Eight Days a Week""
","130
 1965",,,1,,
"March 27
","""Stop! In the Name of Love""
","131
 1965",,,1,,
"April 10
","""I'm Telling You Now""
","132
 1965",,,1,,
"April 24
","""Game of Love""
","133
 1965",,,1,,
"May 1
","""Mrs. Brown, You've Got a Lovely Daughter""
","134
 1965",,,1,,
"May 22
","""Ticket to Ride""
","135
 1965",,,1,,
"May 29
","""Help Me, Rhonda""
","136
 1965",,,1,,
"June 12
","""Back in My Arms Again""
","137
 1965",,,1,,
"June 19
","""I Can't Help Myself (Sugar Pie Honey Bunch)""
","138
 1965",,,1,,
"June 26
","""Mr. Tambourine Man""
","139
 1965",,,1,,
"July 3
","""I Can't Help Myself (Sugar Pie Honey Bunch)""
","re
 1965",,,1,,
"July 10
","""(I Can't Get No) Satisfaction""
","140
 1965",,,1,,
"August 7
","""I'm Henry VIII, I Am""
","141
 1965",,,1,,
"August 14
","""I Got You Babe""
","142
 1965",,,1,,
"September 4
","""Help!""
","143
 1965",,,1,,
"September 25
","""Eve of Destruction""
","144
 1965",,,1,,
"October 2
","""Hang On Sloopy""
","145
 1965",,,1,,
"October 9
","""Yesterday""
","146
 1965",,,1,,
"November 6
","""Get Off of My Cloud""
","147
 1965",,,1,,
"November 20
","""I Hear a Symphony""
","148
 1965",,,1,,
"December 4
","""Turn! Turn! Turn! (To Everything There Is a Season)""
","149
 1965",,,1,,
"December 25
","""Over and Over""
","150
 1965",,,1,,
"January 1
","""The Sound of Silence""
","151
 1966",,,1,,
"January 8
","""We Can Work It Out""
","152
 1966",,,1,,
"January 22
","""The Sound of Silence""
","re
 1966",,,1,,
"January 29
","""We Can Work It Out""
","re
 1966",,,1,,
"February 5
","""My Love""
","153
 1966",,,1,,
"February 19
","""Lightnin' Strikes""
","154
 1966",,,1,,
"February 26
","""These Boots Are Made for Walkin'""
","155
 1966",,,1,,
"March 5
","""Ballad of the Green Berets""
","156
 1966",,,1,,
"April 9
","""(You're My) Soul and Inspiration""
","157
 1966",,,1,,
"April 30
","""Good Lovin'""
","158
 1966",,,1,,
"May 7
","""Monday, Monday""
","159
 1966",,,1,,
"May 28
","""When a Man Loves a Woman""
","160
 1966",,,1,,
"June 11
","""Paint It Black""
","161
 1966",,,1,,
